index,seriesName,network,season,title,imdb,engagement,dateAired,run.time,format,monster.name,monster.gender,mainMonsterGender,monster.type,monster.subtype,monster.species,monster.amount,caught.fred,caught.daphnie,caught.velma,caught.shaggy,caught.scooby,caught.other,num.caught,caught.not,caught,captured.fred,captured.daphnie,captured.velma,captured.shaggy,captured.scooby,num.captured,unmask.fred,unmask.daphnie,unmask.velma,unmask.shaggy,unmask.scooby,unmask.other,settingTerrain,suspects.amount,non-suspect,arrested,culprit.gender,culprit.amount,motive,if.it.wasnt.for,and.that,number.of.snacks,split.up,another.mystery,set.a.trap,jeepers,jinkies,my.glasses,just.about.wrapped.up,zoinks,groovy,scooby.doo.where.are.you,rooby.rooby.roo
32,The New Scooby-Doo Movies,CBS,1,Sandy Duncan's Jekyll and Hyde,7.8,90,10/21/1972,41,TV Series,"Ghost,Sheik,Mummy,Pirate,Dragon,Wolfman,Grizzly Bear,Indian,Mr. Hyde","Male,Male,Male,Male,Male,Male,Male,Male,Male",Male,"Ghost,Disguised,Undead,Disguised,Animal,Animal,Animal,Ancient,Disguised","Phantom,Sheik,Mummy,Pirate,Dragon,Humanoid,Bear,Indian,Split-Personality","Human,Human,Human,Human,Dragon,Human,Bear,Human,Human",9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Urban,4,TRUE,FALSE,Male,1,Preservation,NULL,NULL,0,0,0,0,0,1,0,0,0,0,1,0
33,The New Scooby-Doo Movies,CBS,1,The Secret of Shark Island,8.5,109,10/28/1972,41,TV Series,"Shark Men,Shark Men","Male,Male",Male,"Animal,Animal","Sea-Monster,Sea-Monster","Shark,Shark",2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Island,2,FALSE,TRUE,Male,1,Treasure,NULL,NULL,0,0,0,0,0,0,0,0,1,0,1,0
34,The New Scooby-Doo Movies,CBS,1,The Spooky Fog of Juneberry,7.7,96,11/4/1972,43,TV Series,"Skeleton Man,Lady Ghost,3-Eyed Spook,Giant,Brontosaurus,Headless Horsemen of Sleepy Hollow,Skeleton Stage Driver","Male,Female,Male,Male,Male,Male,Male",Male,"Undead,Ghost,Ghost,Ghost,Ancient,Ghost,Ghost","Skeleton,Phantom,Phantom,Phantom,Brontosaurus,Headless,Phantom","Human,Human,Human,Human,Dinosaur,Human,Human",7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Desert,2,FALSE,TRUE,Male,1,Theft,you people,NULL,3,1,0,0,0,1,0,0,0,0,0,0
35,The New Scooby-Doo Movies,CBS,1,The Ghost of Bigfoot,8.3,118,11/11/1972,43,TV Series,The Ghost of Bigfoot,Male,Male,Ghost,Half-Human,Big Foot,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Snow,4,FALSE,TRUE,Male,1,Theft,NULL,NULL,0,0,0,0,0,1,0,0,0,0,0,0
36,The New Scooby-Doo Movies,CBS,1,The Ghost of the Red Baron,7.6,86,11/18/1972,43,TV Series,Ghost of the Red Baron,Male,Male,Ghost,Pilot,Human,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1,TRUE,TRUE,TRUE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rural,3,FALSE,TRUE,Male,1,Competition,NULL,NULL,0,0,0,0,0,0,0,0,1,0,0,3
37,The New Scooby-Doo Movies,CBS,1,The Ghostly Creep from the Deep,7.4,90,11/25/1972,43,TV Series,"Ghost of Redbeard,Ghost of Redbeard's crew,Ghost of Redbeard's crew,Ghost of Redbeard's crew","Male,Male,Male,Male",Male,"Ghost,Ghost,Ghost,Ghost","Pirate,Pirate,Pirate,Pirate","Human,Human,Human,Human",4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Swamp,1,TRUE,TRUE,Male,1,Natural Resource,NULL,NULL,1,0,0,0,0,1,0,0,0,1,1,1
38,The New Scooby-Doo Movies,CBS,1,The Haunted Horseman of Hagglethorn Hall,7.8,86,12/2/1972,41,TV Series,"Haunted Horseman,Moat Monster","Male,Male",Male,"Ghost,Animal","Horseman,Amphibian","Human,Frog",2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rural,4,FALSE,FALSE,"Male,Male",2,Competition,brats,NULL,0,0,0,0,0,1,0,0,1,0,0,0
39,The New Scooby-Doo Movies,CBS,1,The Phantom of the Country Music Hall,7.6,81,12/9/1972,41,TV Series,"Possessed Viking Mannequin,Possessed Davy Crockett Mannequin","Male,Male",Male,"Possessed Object,Possessed Object","Viking,Soldier","Human,Human",2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Urban,2,FALSE,TRUE,"Female,Male",2,Theft,NULL,NULL,0,0,0,0,0,0,0,0,1,0,1,0
40,The New Scooby-Doo Movies,CBS,1,The Caped Crusader Caper,7.2,183,12/16/1972,43,TV Series,"Dryad,Troll","Male,Male",Male,"Mythical,Mythical","Tree,Humanoid","Dryad,Troll",2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Forest,2,FALSE,TRUE,"Male,Male",2,Theft,NULL,NULL,0,0,0,0,1,1,0,0,5,0,1,1
41,The New Scooby-Doo Movies,CBS,1,The Lochness Mess,7.9,114,12/23/1972,43,TV Series,"Sea Serpent,Ghost of Paul Revere,Minuteman Ghost,Redcoat Ghost","Male,Male,Male,Male",Male,"Mythical,Ghost,Ghost,Ghost","Sea-Monster,Phantom,Phantom,Phantom","Serpent,Human,Human,Human",4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Rural,4,FALSE,TRUE,"Male,Male,Male",3,Treasure,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0
